epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4307.32,1.60491,1.53229,0.01338,0.6451,0.57057,0.60956,0.32954,1.71036,1.53415,0.01796,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4396.58,1.59472,1.50864,0.01319,0.61603,0.59119,0.61292,0.33414,1.71782,1.49875,0.01812,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4486.22,1.59018,1.50014,0.01311,0.62713,0.59665,0.61031,0.33118,1.7091,1.51737,0.01778,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4576.24,1.59095,1.48933,0.01306,0.61914,0.58851,0.61012,0.33201,1.7212,1.52016,0.01814,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4664.83,1.58391,1.4727,0.01295,0.63588,0.57129,0.61163,0.32942,1.72715,1.51777,0.01827,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4754.59,1.59099,1.47339,0.01327,0.62657,0.58834,0.61516,0.33236,1.72536,1.51262,0.01826,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4843.53,1.58697,1.45958,0.01293,0.64741,0.59249,0.62531,0.34017,1.72509,1.50602,0.01824,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4933.4,1.57012,1.42512,0.0129,0.63593,0.58602,0.61866,0.3376,1.71607,1.49853,0.01807,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5021.57,1.56918,1.42254,0.01297,0.61899,0.59375,0.61583,0.33417,1.73431,1.51974,0.01822,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5109.93,1.57061,1.40709,0.01289,0.62236,0.59291,0.61647,0.3366,1.72318,1.50031,0.01814,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5198.12,1.57238,1.41932,0.01303,0.62935,0.58554,0.61499,0.3327,1.72606,1.52774,0.01816,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5287.8,1.55996,1.39376,0.01275,0.62423,0.60282,0.61853,0.33554,1.72171,1.50487,0.01813,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5376.07,1.56361,1.38635,0.0127,0.6428,0.5925,0.6206,0.33698,1.72553,1.5221,0.01822,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5466.47,1.55789,1.35839,0.01288,0.63288,0.59749,0.62129,0.33767,1.72927,1.50759,0.0183,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5555.27,1.5468,1.34313,0.01253,0.64114,0.60072,0.61805,0.33441,1.74225,1.51616,0.01844,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5643.67,1.52947,1.35854,0.01247,0.63859,0.58867,0.61797,0.33721,1.73298,1.53017,0.01834,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5732.33,1.5476,1.33924,0.01256,0.63918,0.59337,0.62254,0.33867,1.72825,1.54142,0.01814,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5821.15,1.52451,1.32905,0.01236,0.64865,0.59396,0.62562,0.33935,1.73263,1.52322,0.01818,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5909.94,1.51911,1.30855,0.01222,0.64774,0.59404,0.62196,0.3362,1.74002,1.53,0.01835,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
